Активный код ELIT;Каталожный номер;Бренд;Описание товара;Описание  eCat;Цена клиента;НАЛИЧИЕ;;;
0 001 107 401;0 001 107 401;BOSCH;Стартер;Стартер;2173.95;1;1;0;6+
0 001 108 203;0 001 108 203;BOSCH;Стартер;Стартер;3802.85;0;0;1;6+
0 001 109 324;0 001 109 324;BOSCH;Стартер;Стартер;3659.05;0;0;1;6+
0 001 121 408;0 001 121 408;BOSCH;Стартер;Стартер;3543.06;0;0;0;6+
0 001 123 012;0 001 123 012;BOSCH;Стартер;Стартер;4753.81;0;0;0;6+
0 001 125 031;0 001 125 031;BOSCH;Стартер;Стартер;4044.24;0;0;0;6+
0 001 125 042;0 001 125 042;BOSCH;Стартер;Стартер;3954.64;0;0;0;6+
0 001 125 519;0 001 125 519;BOSCH;Стартер;Стартер;4499.62;0;0;0;6+
 ;0 001 138 001;;Стартер;Стартер;m;0;0;0;6+
0 001 152 410;0 001 152 410;BOSCH;Стартер;Стартер;6139.36;0;0;0;6+
0 001 231 033;0 001 231 033;BOSCH;Стартер;Стартер;12421.31;0;0;0;6+
0 092 M4F 290;0 092 M4F 290;BOSCH;Мотоакумулятор BOSCH-M4F29;Мотоаккумулятор BOSCH-M4F29;639.38;0;0;0;2
0 092 M4F 300;0 092 M4F 300;BOSCH;Мотоакумулятор BOSCH-M4F30;Мотоаккумулятор BOSCH-M4F30;654.83;0;0;1;0
0 092 M4F 340;0 092 M4F 340;BOSCH;Мотоакумулятор BOSCH-M4F34;Мотоаккумулятор BOSCH-M4F34;796.14;0;0;0;2
0 092 M4F 360;0 092 M4F 360;BOSCH;Мотоакумулятор BOSCH-M4F36;"Стартерная аккумуляторная батарея; Стартерная аккумуляторная батарея";755.40;1;1;0;1
0 092 M4F 410;0 092 M4F 410;BOSCH;Мотоакумулятор BOSCH-M4F41;Мотоаккумулятор BOSCH-M4F41;1087.06;0;0;0;1
0 092 M4F 450;0 092 M4F 450;BOSCH;Мотоакумулятор BOSCH-M4F45;Мотоаккумулятор BOSCH-M4F45;1294.79;0;0;0;2
0 092 M4F 510;0 092 M4F 510;BOSCH;Мотоакумулятор BOSCH-M4F51;Мотоаккумулятор BOSCH-M4F51;1351.54;0;0;0;1
0 092 M4F 520;0 092 M4F 520;BOSCH;Мотоакумулятор BOSCH-M4F52;"Стартерная аккумуляторная батарея; Стартерная аккумуляторная батарея";1405.98;0;0;0;2
0 092 M60 040;0 092 M60 040;BOSCH;Мотоакумулятор BOSCH-M6004;Мотоаккумулятор BOSCH-M6004;657.53;0;0;0;1
